mesiac,druh,priemer_eur
2020-08,Predčasný starobný,454.19
2020-08,Invalidný,282.15
2020-08,Vdovský,178.18
2020-08,Vdovecký,123.76
2020-09,Starobný,457.26
2020-09,Predčasný starobný,455.3
2020-09,Invalidný,282
2020-09,Vdovský,178.27
2020-09,Vdovecký,123.8
2020-10,Starobný,457.63
2020-10,Predčasný starobný,457.74
2020-10,Invalidný,282.06
2020-10,Vdovský,178.36
2020-10,Vdovecký,123.95
2020-11,Starobný,457.8
2020-11,Predčasný starobný,463.25
2020-11,Invalidný,282.07
2020-11,Vdovský,178.42
2020-11,Vdovecký,124.12
2020-12,Starobný,458
2020-12,Predčasný starobný,470.47
2020-12,Invalidný,282.21
2020-12,Vdovský,178.51
2020-12,Vdovecký,124.25
2021-01,Starobný,468.95
2021-01,Predčasný starobný,482.72
2021-01,Invalidný,289.6
2021-01,Vdovský,183.37
2021-01,Vdovecký,127.89
2021-02,Starobný,469.76
2021-02,Predčasný starobný,483.72
2021-02,Invalidný,289.35
2021-02,Vdovský,183.75
2021-02,Vdovecký,128.39
2021-03,Starobný,470.07
2021-03,Predčasný starobný,486.95
2021-03,Invalidný,289.16
2021-03,Vdovský,183.91
2021-03,Vdovecký,128.63
2021-04,Starobný,471.22
2021-04,Predčasný starobný,490.41
2021-04,Invalidný,289.09
2021-04,Vdovský,184.04
2021-04,Vdovecký,128.8
2021-05,Starobný,471.87
2021-05,Predčasný starobný,490.72
2021-05,Invalidný,289.21
2021-05,Vdovský,184.11
2021-05,Vdovecký,128.88
2021-06,Starobný,472.66
2021-06,Predčasný starobný,490.08
2021-06,Invalidný,289.45
2021-06,Vdovský,184.29
2021-06,Vdovecký,128.96
2021-07,Starobný,473.29
2021-07,Predčasný starobný,489.04
2021-07,Invalidný,289.7
2021-07,Vdovský,184.54
2021-07,Vdovecký,129.12
2021-08,Starobný,473.87
2021-08,Predčasný starobný,494.57
2021-08,Invalidný,289.9
2021-08,Vdovský,184.79
2021-08,Vdovecký,129.24
2021-09,Starobný,474.32
2021-09,Predčasný starobný,497.54
2021-09,Invalidný,290.27
2021-09,Vdovský,184.84
2021-09,Vdovecký,129.31
2021-10,Starobný,474.75
2021-10,Predčasný starobný,498.58
2021-10,Invalidný,290.61
2021-10,Vdovský,184.9
2021-10,Vdovecký,129.34
2021-11,Starobný,474.96
2021-11,Predčasný starobný,496.94
2021-11,Invalidný,290.55
2021-11,Vdovský,184.92
2021-11,Vdovecký,129.35
2021-12,Starobný,475.49
2021-12,Predčasný starobný,495.75
2021-12,Invalidný,290.61
2021-12,Vdovský,185.08
