mesiac,druh,pocet
2015-11,Vdovecký,256
2015-12,Starobný,3103
2015-12,Predčasný starobný,1048
2015-12,Invalidný,1854
2015-12,Vdovský,726
2015-12,Vdovecký,226
2016-01,Starobný,2838
2016-01,Predčasný starobný,1042
2016-01,Invalidný,1826
2016-01,Vdovský,843
2016-01,Vdovecký,278
2016-02,Starobný,3514
2016-02,Predčasný starobný,1806
2016-02,Invalidný,1804
2016-02,Vdovský,1211
2016-02,Vdovecký,388
2016-03,Starobný,3637
2016-03,Predčasný starobný,1324
2016-03,Invalidný,1561
2016-03,Vdovský,1328
2016-03,Vdovecký,863
2016-04,Starobný,3619
2016-04,Predčasný starobný,1056
2016-04,Invalidný,1471
2016-04,Vdovský,1519
2016-04,Vdovecký,972
2016-05,Starobný,4380
2016-05,Predčasný starobný,1054
2016-05,Invalidný,1752
2016-05,Vdovský,1719
2016-05,Vdovecký,880
2016-06,Starobný,5634
2016-06,Predčasný starobný,1678
2016-06,Invalidný,2948
2016-06,Vdovský,3367
2016-06,Vdovecký,1411
2016-07,Starobný,2467
2016-07,Predčasný starobný,965
2016-07,Invalidný,1761
2016-07,Vdovský,1758
2016-07,Vdovecký,785
2016-08,Starobný,2788
2016-08,Predčasný starobný,1361
2016-08,Invalidný,2087
2016-08,Vdovský,2066
2016-08,Vdovecký,727
2016-09,Starobný,2556
2016-09,Predčasný starobný,1581
2016-09,Invalidný,1903
2016-09,Vdovský,1776
2016-09,Vdovecký,633
2016-10,Starobný,2607
2016-10,Predčasný starobný,1354
2016-10,Invalidný,1723
2016-10,Vdovský,1440
2016-10,Vdovecký,552
2016-11,Starobný,2850
2016-11,Predčasný starobný,1480
2016-11,Invalidný,2089
2016-11,Vdovský,1551
2016-11,Vdovecký,629
2016-12,Starobný,2264
2016-12,Predčasný starobný,1527
2016-12,Invalidný,2049
2016-12,Vdovský,1222
2016-12,Vdovecký,464
2017-01,Starobný,1877
2017-01,Predčasný starobný,2104
2017-01,Invalidný,1768
2017-01,Vdovský,1128
2017-01,Vdovecký,433
2017-02,Starobný,1812
2017-02,Predčasný starobný,3362
2017-02,Invalidný,1478
2017-02,Vdovský,1203
2017-02,Vdovecký,403
2017-03,Starobný,2421
2017-03,Predčasný starobný,1440
2017-03,Invalidný,1972
2017-03,Vdovský,1639
2017-03,Vdovecký,517
2017-04,Starobný,2386
2017-04,Predčasný starobný,752
2017-04,Invalidný,2088
2017-04,Vdovský,1209
2017-04,Vdovecký,432
2017-05,Starobný,3706
2017-05,Predčasný starobný,1035
2017-05,Invalidný,2278
2017-05,Vdovský,1683
2017-05,Vdovecký,606
2017-06,Starobný,4460
2017-06,Predčasný starobný,1032
2017-06,Invalidný,1942
2017-06,Vdovský,1590
2017-06,Vdovecký,571
2017-07,Starobný,3347
2017-07,Predčasný starobný,708
2017-07,Invalidný,1461
2017-07,Vdovský,998
2017-07,Vdovecký,355
2017-08,Starobný,3815
2017-08,Predčasný starobný,1155
2017-08,Invalidný,1830
2017-08,Vdovský,1100
2017-08,Vdovecký,414
2017-09,Starobný,3450
2017-09,Predčasný starobný,970
2017-09,Invalidný,1297
2017-09,Vdovský,1054
2017-09,Vdovecký,363
2017-10,Starobný,4875
2017-10,Predčasný starobný,1169
2017-10,Invalidný,1721
2017-10,Vdovský,1311
2017-10,Vdovecký,523
2017-11,Starobný,4523
2017-11,Predčasný starobný,1010
2017-11,Invalidný,1513
2017-11,Vdovský,1158
2017-11,Vdovecký,464
2017-12,Starobný,3344
2017-12,Predčasný starobný,744
2017-12,Invalidný,1548
2017-12,Vdovský,705
2017-12,Vdovecký,241
2018-01,Starobný,3634
2018-01,Predčasný starobný,1007
2018-01,Invalidný,1690
2018-01,Vdovský,1264
2018-01,Vdovecký,452
2018-02,Starobný,2749
2018-02,Predčasný starobný,1434
2018-02,Invalidný,1447
2018-02,Vdovský,993
2018-02,Vdovecký,353
2018-03,Starobný,2917
2018-03,Predčasný starobný,1316
2018-03,Invalidný,1176
2018-03,Vdovský,935
2018-03,Vdovecký,364
2018-04,Starobný,2923
2018-04,Predčasný starobný,544
2018-04,Invalidný,1854
2018-04,Vdovský,1003
2018-04,Vdovecký,398
2018-05,Starobný,3301
2018-05,Predčasný starobný,843
2018-05,Invalidný,2277
2018-05,Vdovský,1856
2018-05,Vdovecký,633
2018-06,Starobný,2019
2018-06,Predčasný starobný,1004
2018-06,Invalidný,2391
2018-06,Vdovský,1987
2018-06,Vdovecký,746
2018-07,Starobný,1221
2018-07,Predčasný starobný,764
2018-07,Invalidný,1777
2018-07,Vdovský,1282
2018-07,Vdovecký,501
2018-08,Starobný,1540
2018-08,Predčasný starobný,812
2018-08,Invalidný,1421
2018-08,Vdovský,872
