mesiac,druh,pocet,priemer_eur,vydavky_tis_eur
2018-01,Predčasný starobný,15966,409.37,7233
2018-01,Invalidný,235150,268.69,61427
2018-01,Vdovský,294941,165.88,46493
2018-01,Vdovecký,47263,113.73,5245
2018-02,Starobný,1063885,412.98,452121
2018-02,Predčasný starobný,16654,409.61,8582
2018-02,Invalidný,235112,268.4,64918
2018-02,Vdovský,293469,166.06,49294
2018-02,Vdovecký,47028,114.08,5550
2018-03,Starobný,1064569,413.48,480203
2018-03,Predčasný starobný,17286,411.87,9105
2018-03,Invalidný,234906,268.29,68328
2018-03,Vdovský,292996,166.09,52007
2018-03,Vdovecký,47015,114.16,5887
2018-04,Starobný,1064099,414.47,455566
2018-04,Predčasný starobný,17228,412.26,7911
2018-04,Invalidný,235183,268.38,65499
2018-04,Vdovský,292398,166.14,49186
2018-04,Vdovecký,46956,114.2,5569
2018-05,Starobný,1064259,415.09,435580
2018-05,Predčasný starobný,16733,411.11,7476
2018-05,Invalidný,236227,268.44,63561
2018-05,Vdovský,292342,166.14,47020
2018-05,Vdovecký,47118,114.26,5387
2018-06,Starobný,1064322,415.79,476721
2018-06,Predčasný starobný,16462,409.67,8043
2018-06,Invalidný,236716,268.21,69048
2018-06,Vdovský,292795,166.24,51577
2018-06,Vdovecký,47346,114.35,5866
2018-07,Starobný,1064355,416.34,429107
2018-07,Predčasný starobný,16331,407.3,7006
2018-07,Invalidný,237530,267.96,61269
2018-07,Vdovský,293143,166.24,46158
2018-07,Vdovecký,47621,114.37,5285
2018-08,Starobný,1063943,417,487731
2018-08,Predčasný starobný,16059,406.26,7892
2018-08,Invalidný,237817,267.68,69456
2018-08,Vdovský,293099,166.19,52417
2018-08,Vdovecký,47773,114.43,6009
2018-09,Starobný,1063687,417.64,426819
2018-09,Predčasný starobný,15892,405.53,7420
2018-09,Invalidný,237715,267.45,60726
2018-09,Vdovský,292655,166.17,45869
2018-09,Vdovecký,47737,114.39,5282
2018-10,Starobný,1063912,418.25,489823
2018-10,Predčasný starobný,15682,407.5,8381
2018-10,Invalidný,237492,267.24,70635
2018-10,Vdovský,292616,166.27,52859
2018-10,Vdovecký,47829,114.54,6144
2018-11,Starobný,1066844,418.51,458558
2018-11,Predčasný starobný,15489,407.94,7561
2018-11,Invalidný,237701,267.08,65795
2018-11,Vdovský,293473,166.41,49565
2018-11,Vdovecký,48147,114.7,5791
2018-12,Starobný,1069255,418.69,455098
2018-12,Predčasný starobný,14879,407.9,7158
2018-12,Invalidný,237616,266.83,65136
2018-12,Vdovský,294053,166.58,49197
2018-12,Vdovecký,48348,114.79,5700
2019-01,Starobný,1070083,429.99,453060
2019-01,Predčasný starobný,14595,419.46,7270
2019-01,Invalidný,237302,273.75,64404
2019-01,Vdovský,294124,171.32,48753
2019-01,Vdovecký,48480,118.07,5652
2019-02,Starobný,1066385,430.63,471461
2019-02,Predčasný starobný,15815,422.11,8979
2019-02,Invalidný,237228,273.73,66337
2019-02,Vdovský,292304,171.56,50641
2019-02,Vdovecký,48265,118.32,5929
2019-03,Starobný,1067925,430.97,467589
2019-03,Predčasný starobný,17022,428.11,8064
2019-03,Invalidný,236804,273.69,65140
2019-03,Vdovský,292139,171.61,49737
2019-03,Vdovecký,48339,118.36,5806
2019-04,Starobný,1069698,431.99,508764
2019-04,Predčasný starobný,16408,429.51,8231
2019-04,Invalidný,236344,273.56,70996
2019-04,Vdovský,291828,171.61,53962
2019-04,Vdovecký,48369,118.43,6320
2019-05,Starobný,1071947,432.42,479653
2019-05,Predčasný starobný,15668,430.1,7682
2019-05,Invalidný,236141,273.51,68211
2019-05,Vdovský,291737,171.61,50890
2019-05,Vdovecký,48467,118.5,6065
2019-06,Starobný,1074409,432.92,448202
2019-06,Predčasný starobný,15130,430.96,6976
2019-06,Invalidný,236824,273.8,62769
2019-06,Vdovský,292182,171.63,47500
2019-06,Vdovecký,48713,118.57,5599
2019-07,Starobný,1077394,433.22,481776
2019-07,Predčasný starobný,14691,430.98,7273
2019-07,Invalidný,236531,273.83,67335
2019-07,Vdovský,292503,171.61,50787
2019-07,Vdovecký,48923,118.57,6012
2019-08,Starobný,1078934,433.42,507550
2019-08,Predčasný starobný,14292,431.12,7527
2019-08,Invalidný,236319,273.81,69684
2019-08,Vdovský,292314,171.62,53705
2019-08,Vdovecký,48976,118.7,6344
2019-09,Starobný,1080540,433.58,452435
2019-09,Predčasný starobný,13922,432.81,6597
2019-09,Invalidný,235708,273.7,62062
2019-09,Vdovský,291994,171.61,47590
2019-09,Vdovecký,49000,118.78,5636
2019-10,Starobný,1082323,433.88,564648
2019-10,Predčasný starobný,13988,432.09,7866
2019-10,Invalidný,235155,273.65,77170
2019-10,Vdovský,292041,171.72,59645
2019-10,Vdovecký,49148,118.91,7156
2019-11,Starobný,1086241,434.12,432567
2019-11,Predčasný starobný,13756,431.21,5848
2019-11,Invalidný,234902,273.57,59269
2019-11,Vdovský,292991,171.81,45404
2019-11,Vdovecký,49487,119.06,5452
2019-12,Starobný,1088300,434.23,483616
2019-12,Predčasný starobný,13194,429.86,6290
2019-12,Invalidný,234346,273.39,66328
2019-12,Vdovský,293017,171.87,50724
2019-12,Vdovecký,49508,119.11,6067
2020-01,Starobný,1088208,449.42,500605
2020-01,Predčasný starobný,13004,440.87,6413
2020-01,Invalidný,234015,281.34,67953
2020-01,Vdovský,292648,177.25,52498
2020-01,Vdovecký,49452,122.86,6293
2020-02,Starobný,1082544,452.98,496210
2020-02,Predčasný starobný,13589,441.98,7237
2020-02,Invalidný,234749,281.36,67904
2020-02,Vdovský,291145,177.6,52106
2020-02,Vdovecký,49264,123.24,6267
2020-03,Starobný,1082804,453.42,472283
2020-03,Predčasný starobný,14149,443.8,6927
2020-03,Invalidný,234734,281.35,63942
2020-03,Vdovský,291143,177.74,49186
2020-03,Vdovecký,49306,123.26,5916
2020-04,Starobný,1082527,454.56,584764
2020-04,Predčasný starobný,14280,444.08,8746
2020-04,Invalidný,234364,281.39,79493
2020-04,Vdovský,290665,177.85,61065
2020-04,Vdovecký,49272,123.39,7354
2020-05,Starobný,1082406,455.1,418005
2020-05,Predčasný starobný,14320,445.13,6565
2020-05,Invalidný,234127,281.31,56449
2020-05,Vdovský,290136,177.92,43245
2020-05,Vdovecký,49217,123.55,5197
2020-06,Starobný,1083919,455.76,501799
2020-06,Predčasný starobný,14476,446.64,7593
2020-06,Invalidný,233629,281.49,67773
2020-06,Vdovský,290130,177.96,52060
2020-06,Vdovecký,49230,123.54,6235
2020-07,Starobný,1083978,456.35,535493
2020-07,Predčasný starobný,14374,449.57,8119
2020-07,Invalidný,234236,281.85,72780
2020-07,Vdovský,289972,178.03,55306
2020-07,Vdovecký,49210,123.62,6652
2020-08,Starobný,1084479,456.88,503503
2020-08,Predčasný starobný,14300,454.19,7503
2020-08,Invalidný,235047,282.15,67943
2020-08,Vdovský,290032,178.18,52239
2020-08,Vdovecký,49333,123.76,6309
2020-09,Starobný,1085879,457.26,476343
2020-09,Predčasný starobný,13750,455.3,7500
2020-09,Invalidný,234677,282,64787
2020-09,Vdovský,289707,178.27,49235
2020-09,Vdovecký,49295,123.8,5980
2020-10,Starobný,1086952,457.63,538516
2020-10,Predčasný starobný,13506,457.74,8604
2020-10,Invalidný,234312,282.06,73072
2020-10,Vdovský,289793,178.36,55665
2020-10,Vdovecký,49442,123.95,6750
2020-11,Starobný,1090315,457.8,478595
2020-11,Predčasný starobný,13239,463.25,7206
2020-11,Invalidný,233951,282.07,64759
2020-11,Vdovský,290492,178.42,49540
2020-11,Vdovecký,49740,124.12,6027
2020-12,Starobný,1093195,458,590946
2020-12,Predčasný starobný,12203,470.47,7660
2020-12,Invalidný,233461,282.21,78390
2020-12,Vdovský,290680,178.51,61066
2020-12,Vdovecký,49915,124.25,7403
2021-01,Starobný,1094184,468.95,439183
2021-01,Predčasný starobný,11720,482.72,5533
2021-01,Invalidný,232829,289.6,57107
2021-01,Vdovský,290536,183.37,44880
2021-01,Vdovecký,49867,127.89,5444
2021-02,Starobný,1085427,469.76,517542
2021-02,Predčasný starobný,11984,483.72,6715
2021-02,Invalidný,232526,289.35,67823
2021-02,Vdovský,286656,183.75,52933
2021-02,Vdovecký,48854,128.39,6439
2021-03,Starobný,1083038,470.07,531649
2021-03,Predčasný starobný,11917,486.95,7895
2021-03,Invalidný,231741,289.16,68605
2021-03,Vdovský,285542,183.91,53746
2021-03,Vdovecký,48605,128.63,6500
2021-04,Starobný,1080271,471.22,548608
2021-04,Predčasný starobný,12024,490.41,7751
2021-04,Invalidný,230357,289.09,70435
2021-04,Vdovský,284590,184.04,55037
2021-04,Vdovecký,48488,128.8,6664
2021-05,Starobný,1081483,471.87,502958
2021-05,Predčasný starobný,11953,490.72,7367
2021-05,Invalidný,229236,289.21,64995
2021-05,Vdovský,284430,184.11,50172
2021-05,Vdovecký,48503,128.88,6126
2021-06,Starobný,1084226,472.66,578885
2021-06,Predčasný starobný,11798,490.08,7700
2021-06,Invalidný,228315,289.45,69908
2021-06,Vdovský,285447,184.29,53934
2021-06,Vdovecký,48870,128.96,6654
2021-07,Starobný,1087176,473.29,563505
2021-07,Predčasný starobný,11917,489.04,8269
2021-07,Invalidný,228010,289.7,72653
2021-07,Vdovský,287045,184.54,57090
2021-07,Vdovecký,49520,129.12,7075
2021-08,Starobný,1090935,473.87,534038
2021-08,Predčasný starobný,10271,494.57,6954
2021-08,Invalidný,227878,289.9,67905
2021-08,Vdovský,287870,184.79,53994
2021-08,Vdovecký,49935,129.24,6715
2021-09,Starobný,1091310,474.32,513206
2021-09,Predčasný starobný,10958,497.54,7479
2021-09,Invalidný,228220,290.27,65366
2021-09,Vdovský,287936,184.84,51795
2021-09,Vdovecký,50130,129.31,6470
2021-10,Starobný,1092782,474.75,561207
2021-10,Predčasný starobný,11711,498.58,8303
2021-10,Invalidný,228653,290.61,71234
2021-10,Vdovský,288317,184.9,56656
2021-10,Vdovecký,50295,129.34,7072
2021-11,Starobný,1095027,474.96,505125
2021-11,Predčasný starobný,11545,496.94,7410
2021-11,Invalidný,228059,290.55,64103
2021-11,Vdovský,288526,184.92,51123
2021-11,Vdovecký,50391,129.35,6400
