mesiac,druh,vydavky_tis_eur
2020-05,Vdovský,43245
2020-05,Vdovecký,5197
2020-05,Sirotský,2477
2020-06,Starobný,501799
2020-06,Predčasný starobný,7593
2020-06,Invalidný,67773
2020-06,Vdovský,52060
2020-06,Vdovecký,6235
2020-06,Sirotský,2929
2020-07,Starobný,535493
2020-07,Predčasný starobný,8119
2020-07,Invalidný,72780
2020-07,Vdovský,55306
2020-07,Vdovecký,6652
2020-07,Sirotský,2832
2020-08,Starobný,503503
2020-08,Predčasný starobný,7503
2020-08,Invalidný,67943
2020-08,Vdovský,52239
2020-08,Vdovecký,6309
2020-08,Sirotský,2683
2020-09,Starobný,476343
2020-09,Predčasný starobný,7500
2020-09,Invalidný,64787
2020-09,Vdovský,49235
2020-09,Vdovecký,5980
2020-09,Sirotský,2505
2020-10,Starobný,538516
2020-10,Predčasný starobný,8604
2020-10,Invalidný,73072
2020-10,Vdovský,55665
2020-10,Vdovecký,6750
2020-10,Sirotský,3235
2020-11,Starobný,478595
2020-11,Predčasný starobný,7206
2020-11,Invalidný,64759
2020-11,Vdovský,49540
2020-11,Vdovecký,6027
2020-11,Sirotský,3204
2020-12,Starobný,590946
2020-12,Predčasný starobný,7660
2020-12,Invalidný,78390
2020-12,Vdovský,61066
2020-12,Vdovecký,7403
2020-12,Sirotský,3574
2021-01,Starobný,439183
2021-01,Predčasný starobný,5533
2021-01,Invalidný,57107
2021-01,Vdovský,44880
2021-01,Vdovecký,5444
2021-01,Sirotský,2675
2021-02,Starobný,517542
2021-02,Predčasný starobný,6715
2021-02,Invalidný,67823
2021-02,Vdovský,52933
2021-02,Vdovecký,6439
2021-02,Sirotský,3217
2021-03,Starobný,531649
2021-03,Predčasný starobný,7895
2021-03,Invalidný,68605
2021-03,Vdovský,53746
2021-03,Vdovecký,6500
2021-03,Sirotský,3358
2021-04,Starobný,548608
2021-04,Predčasný starobný,7751
2021-04,Invalidný,70435
2021-04,Vdovský,55037
2021-04,Vdovecký,6664
2021-04,Sirotský,3280
2021-05,Starobný,502958
2021-05,Predčasný starobný,7367
2021-05,Invalidný,64995
2021-05,Vdovský,50172
2021-05,Vdovecký,6126
2021-05,Sirotský,2958
2021-06,Starobný,578885
2021-06,Predčasný starobný,7700
2021-06,Invalidný,69908
2021-06,Vdovský,53934
2021-06,Vdovecký,6654
2021-06,Sirotský,3219
2021-07,Starobný,563505
2021-07,Predčasný starobný,8269
