mesiac,druh,pocet
2021-08,Invalidný,227878
2021-08,Vdovský,287870
2021-08,Vdovecký,49935
2021-09,Starobný,1091310
2021-09,Predčasný starobný,10958
2021-09,Invalidný,228220
2021-09,Vdovský,287936
2021-09,Vdovecký,50130
2021-10,Starobný,1092782
2021-10,Predčasný starobný,11711
2021-10,Invalidný,228653
2021-10,Vdovský,288317
2021-10,Vdovecký,50295
2021-11,Starobný,1095027
2021-11,Predčasný starobný,11545
2021-11,Invalidný,228059
2021-11,Vdovský,288526
2021-11,Vdovecký,50391
2021-12,Starobný,1096225
2021-12,Predčasný starobný,11992
2021-12,Invalidný,227426
2021-12,Vdovský,288423
2021-12,Vdovecký,50459
2022-01,Starobný,1096396
2022-01,Predčasný starobný,11409
2022-01,Invalidný,226723
2022-01,Vdovský,288007
2022-01,Vdovecký,50436
2022-02,Starobný,1090307
2022-02,Predčasný starobný,12332
2022-02,Invalidný,226446
2022-02,Vdovský,286059
2022-02,Vdovecký,50223
2022-03,Starobný,1091552
2022-03,Predčasný starobný,12429
2022-03,Invalidný,225975
2022-03,Vdovský,286838
2022-03,Vdovecký,50645
2022-04,Starobný,1091009
2022-04,Predčasný starobný,12212
2022-04,Invalidný,225259
2022-04,Vdovský,286839
2022-04,Vdovecký,50790
2022-05,Starobný,1092380
2022-05,Predčasný starobný,11891
2022-05,Invalidný,224651
2022-05,Vdovský,287127
2022-05,Vdovecký,51052
2022-06,Starobný,1096369
2022-06,Predčasný starobný,11806
2022-06,Invalidný,224577
2022-06,Vdovský,288140
2022-06,Vdovecký,51465
2022-07,Starobný,1099296
2022-07,Predčasný starobný,11446
2022-07,Invalidný,224238
2022-07,Vdovský,288612
2022-07,Vdovecký,51716
2022-08,Starobný,1099287
2022-08,Predčasný starobný,11582
2022-08,Invalidný,224217
2022-08,Vdovský,287780
2022-08,Vdovecký,51578
2022-09,Starobný,1100429
2022-09,Predčasný starobný,11770
2022-09,Invalidný,224011
2022-09,Vdovský,287383
2022-09,Vdovecký,51558
2022-10,Starobný,1102360
2022-10,Predčasný starobný,11770
2022-10,Invalidný,223749
2022-10,Vdovský,287774
2022-10,Vdovecký,51778
2022-11,Starobný,1104225
2022-11,Predčasný starobný,12112
2022-11,Invalidný,224055
2022-11,Vdovský,288455
2022-11,Vdovecký,52046
2022-12,Starobný,1104304
2022-12,Predčasný starobný,12311
2022-12,Invalidný,224143
2022-12,Vdovský,288358
2022-12,Vdovecký,52084
2023-01,Starobný,1105403
2023-01,Predčasný starobný,12061
2023-01,Invalidný,223698
2023-01,Vdovský,288316
2023-01,Vdovecký,52063
2023-02,Starobný,1100987
2023-02,Predčasný starobný,12981
2023-02,Invalidný,223698
2023-02,Vdovský,286937
2023-02,Vdovecký,51838
2023-03,Starobný,1102878
2023-03,Predčasný starobný,13993
2023-03,Invalidný,223244
2023-03,Vdovský,287520
2023-03,Vdovecký,52085
2023-04,Starobný,1102785
2023-04,Predčasný starobný,13986
2023-04,Invalidný,222810
2023-04,Vdovský,288175
2023-04,Vdovecký,52342
2023-05,Starobný,1104323
2023-05,Predčasný starobný,13884
2023-05,Invalidný,222654
2023-05,Vdovský,288174
2023-05,Vdovecký,52421
2023-06,Starobný,1106488
2023-06,Predčasný starobný,13899
2023-06,Invalidný,222339
2023-06,Vdovský,288317
2023-06,Vdovecký,52638
2023-07,Starobný,1110234
2023-07,Predčasný starobný,13589
2023-07,Invalidný,222320
2023-07,Vdovský,289093
2023-07,Vdovecký,52906
2023-08,Starobný,1112078
2023-08,Predčasný starobný,12880
2023-08,Invalidný,221815
2023-08,Vdovský,289097
2023-08,Vdovecký,52943
2023-09,Starobný,1111698
2023-09,Predčasný starobný,14303
2023-09,Invalidný,221606
2023-09,Vdovský,287993
2023-09,Vdovecký,52674
2023-10,Starobný,1114611
2023-10,Predčasný starobný,15072
2023-10,Invalidný,221430
